# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
7.000000000000000000e+00 -7.265425280053372514e-01 -1.318433494474972045e-01 -4.540325527362309987e-01 -3.818466087798327302e-01 -3.689558317633717111e-01
7.100000000000000533e+00 1.121602444752357042e-01 -1.343162791668494338e-01 -4.902984712833486358e-01 -4.088255602994335658e-01 -3.942124081389462020e-01
7.200000000000000178e+00 1.065814103640150279e-14 -1.362612321234847601e-01 -5.288866643394387612e-01 -4.374317687802606880e-01 -4.208055535730267360e-01
7.300000000000000711e+00 -9.408092961816432176e-01 -1.376700353869555471e-01 -5.698553769821265158e-01 -4.679119214288585127e-01 -4.489009250625682346e-01
7.400000000000000355e+00 -9.390625058175352535e-01 -1.385366065463503327e-01 -6.131948115651179032e-01 -5.005664658155997149e-01 -4.786862132940537529e-01
7.500000000000000000e+00 4.695100324995811987e-15 -1.388569859540684237e-01 -6.588064562167035287e-01 -5.357665456091007528e-01 -5.103969483365741189e-01
7.600000000000000533e+00 3.819167204710538499e-14 -1.386293608633223928e-01 -7.064810604828061225e-01 -5.739766580348195646e-01 -5.443159919321545193e-01
7.700000000000000178e+00 -1.067138674627697847e+00 -1.378540812299126617e-01 -7.558763480033400262e-01 -6.157839875932904494e-01 -5.807630650545971829e-01
7.800000000000000711e+00 -1.208792350409627403e+00 -1.365336669795405855e-01 -8.064958977329914624e-01 -6.619342891509953919e-01 -6.201166783250912085e-01
7.900000000000000355e+00 -1.445961158925647694e-01 -1.346728065755804504e-01 -8.576709367730632749e-01 -7.133717597531606947e-01 -6.628542603280941359e-01
8.000000000000000000e+00 1.165734175856414367e-14 -1.322783467586900463e-01 -9.085470296038947735e-01 -7.712759270155669089e-01 -7.095686975673710650e-01
8.099999999999999645e+00 -1.235727657910002719e+00 -1.293592733687235485e-01 -9.580777774786118917e-01 -8.370817605653730897e-01 -7.609803114290872861e-01
8.200000000000001066e+00 -1.575747859968656073e+00 -1.259266832009005022e-01 -1.005027616265730783e+00 -9.124601943859858011e-01 -8.179965300682811025e-01
8.300000000000000711e+00 -3.454538278924906280e-01 -1.219937468918147472e-01 -1.047985586005493186e+00 -9.992264919380786647e-01 -8.818132776455639421e-01
8.400000000000000355e+00 2.964295475749167963e-14 -1.175756628763433703e-01 -1.085391518185917725e+00 -1.099136658322549476e+00 -9.540271821806921571e-01
8.500000000000000000e+00 -1.481305252752551427e+00 -1.126896025034882926e-01 -1.115575442565545972e+00 -1.213532619097359655e+00 -1.036810232919791464e+00
8.599999999999999645e+00 -2.125108173157202351e+00 -1.073546464472932838e-01 -1.136810172085175097e+00 -1.342811551697255856e+00 -1.133260233886998369e+00
8.700000000000001066e+00 -6.554318269412279241e-01 -1.015917125978202246e-01 -1.147376024870127464e+00 -1.485729138089594281e+00 -1.247994520056044720e+00
8.800000000000000711e+00 -2.164934898019055254e-14 -9.542347566632536360e-02 -1.145635554232298459e+00 -1.638602065314604284e+00 -1.387990427758505119e+00
8.900000000000000355e+00 -1.888803426957481602e+00 -8.887427878780446155e-02 -1.130115070097508889e+00 -1.794545513915509982e+00 -1.563547082016734535e+00
9.000000000000000000e+00 -3.077683537175270434e+00 -8.197003745252974538e-02 -1.099588752286234428e+00 -1.942950132263773888e+00 -1.788700311665182729e+00
9.099999999999999645e+00 -1.221011288334655331e+00 -7.473813614561843066e-02 -1.053160386440980645e+00 -2.069444360256944559e+00 -2.079302010166740988e+00
9.200000000000001066e+00 -2.203792703880935733e-14 -6.720731811959881896e-02 -9.903372991492852551e-01 -2.156572904310416483e+00 -2.445939378745582093e+00
9.300000000000000711e+00 -2.736871414605761110e+00 -5.940756876892076821e-02 -9.110910124606969029e-01 -2.185329042707324199e+00 -2.879510778262838855e+00
9.400000000000000355e+00 -5.242183581113148527e+00 -5.136999311695390064e-02 -8.158995306152769800e-01 -2.137505614805263576e+00 -3.331415470562030468e+00
9.500000000000000000e+00 -2.656875757337563648e+00 -4.312668796480564198e-02 -7.057670236124476970e-01 -1.998604568280766713e+00 -3.698060286183317391e+00
9.600000000000001421e+00 -1.906808044793706358e-14 -3.471060928687502017e-02 -5.822179472178637960e-01 -1.760824473285615976e+00 -3.826327787550205528e+00
9.700000000000001066e+00 -5.789447496702861073e+00 -2.615543549006467405e-02 -4.472642545991676322e-01 -1.425502435436699855e+00 -3.553907127050104364e+00
9.800000000000000711e+00 -1.589454484386535071e+01 -1.749542718166960387e-02 -3.033461873986150192e-01 -1.004386789730164820e+00 -2.779867625945795506e+00
9.900000000000000355e+00 -1.541025797688696919e+01 -8.765284114847778779e-03 -1.532490298765542269e-01 -5.192905718290533601e-01 -1.534002729072190263e+00
