# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
8.000000000000000000e+00 1.165734175856414367e-14 -1.322783654835259226e-01 -9.085447173452795289e-01 -7.712802817598273242e-01 -7.095673361812905311e-01
8.099999999999999645e+00 -1.235727657910002719e+00 -1.293592920092501708e-01 -9.580751500549147259e-01 -8.370887351239190144e-01 -7.609811129902633864e-01
8.200000000000001066e+00 -1.575747859968656073e+00 -1.259267016589501187e-01 -1.005024808936117342e+00 -9.124698817242770099e-01 -8.179959737882050996e-01
8.300000000000000711e+00 -3.454538278924906280e-01 -1.219937650668375673e-01 -1.047982777117742792e+00 -9.992380926625054061e-01 -8.818088046022710680e-01
8.400000000000000355e+00 2.964295475749167963e-14 -1.175756806662409254e-01 -1.085388920248968825e+00 -1.099148070448766612e+00 -9.540214757993733530e-01
8.500000000000000000e+00 -1.481305252752551427e+00 -1.126896198054953557e-01 -1.115573287936331814e+00 -1.213540271894041345e+00 -1.036805262033005270e+00
8.599999999999999645e+00 -2.125108173157202351e+00 -1.073546631588968847e-01 -1.136808693968750283e+00 -1.342810744822088731e+00 -1.133255206138079396e+00
8.700000000000001066e+00 -6.554318269412279241e-01 -1.015917286177045048e-01 -1.147375435058141990e+00 -1.485715080096843721e+00 -1.247998161839915188e+00
8.800000000000000711e+00 -2.164934898019055254e-14 -9.542349089532949080e-02 -1.145636019658723415e+00 -1.638571587676067365e+00 -1.388030364928161342e+00
8.900000000000000355e+00 -1.888803426957481602e+00 -8.887429312988155694e-02 -1.130116690762990039e+00 -1.794499093033735893e+00 -1.563655345326295576e+00
9.000000000000000000e+00 -3.077683537175270434e+00 -8.197005081569357088e-02 -1.099591543295790119e+00 -1.942893499301140858e+00 -1.788876165712261823e+00
9.099999999999999645e+00 -1.221011288334655331e+00 -7.473814844286544301e-02 -1.053164266745551636e+00 -2.069388806564043559e+00 -2.079465408064737453e+00
9.200000000000001066e+00 -2.203792703880935733e-14 -6.720732926979289257e-02 -9.903420890565254320e-01 -2.156533583320994651e+00 -2.445907249681299245e+00
9.300000000000000711e+00 -2.736871414605761110e+00 -5.940757869762876286e-02 -9.110964411159796494e-01 -2.185321191203951408e+00 -2.879074859204735493e+00
9.400000000000000355e+00 -5.242183581113148527e+00 -5.137000175722027107e-02 -8.159052535379837101e-01 -2.137539517373287179e+00 -3.330570659454620497e+00
9.500000000000000000e+00 -2.656875757337563648e+00 -4.312669525785577107e-02 -7.057726491410463154e-01 -1.998680906227484178e+00 -3.697226512389827580e+00
9.600000000000001421e+00 -1.906808044793706358e-14 -3.471061518273726304e-02 -5.822230695363146413e-01 -1.760931992624738651e+00 -3.826227899874297123e+00
9.700000000000001066e+00 -5.789447496702861073e+00 -2.615543994810266143e-02 -4.472684900590568891e-01 -1.425619345849791220e+00 -3.554986611977300370e+00
9.800000000000000711e+00 -1.589454484386535071e+01 -1.749543017101722747e-02 -3.033492102668300383e-01 -1.004486030052399670e+00 -2.781711580362135283e+00
9.900000000000000355e+00 -1.541025797688696919e+01 -8.765285614740898207e-03 -1.532506035306982484e-01 -5.193475131870365358e-01 -1.535440946801918560e+00
